"";"Rk";"Player";"Age";"Pos";"Tm";"G";"GS";"MP";"FG";"FGA";"FG.";"T3P";"T3PA";"T3P.";"T2P";"T2PA";"T2P.";"eFG.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS";"FP";"FPM"
"1";1;"Alex Abrines";23;"SG";"OKC";68;6;1055;134;341;0,392961876832845;94;247;0,380566801619433;40;94;0,425531914893617;0,530791788856305;44;49;0,897959183673469;18;68;86;40;37;8;33;114;406;499;0,472985781990521
"2";2;"Quincy Acy";26;"PF";"DAL, BRK";38;1;558;70;170;0,411764705882353;37;90;0,411111111111111;33;80;0,4125;0,520588235294118;45;60;0,75;20;95;115;18;14;15;21;67;222;341,5;0,612007168458781
"3";3;"Steven Adams";23;"C";"OKC";80;80;2389;374;655;0,570992366412214;0;1;0;374;654;0,571865443425077;0,570992366412214;157;257;0,610894941634241;281;332;613;86;89;78;146;195;905;1682;0,70406027626622
"4";4;"Arron Afflalo";31;"SG";"SAC";61;45;1580;185;420;0,44047619047619;62;151;0,410596026490066;123;269;0,45724907063197;0,514285714285714;83;93;0,89247311827957;9;116;125;78;21;6;42;104;515;648;0,410126582278481
"5";5;"Alexis Ajinca";28;"C";"NOP";39;15;584;89;178;0,5;0;4;0;89;174;0,511494252873563;0,5;29;40;0,725;46;131;177;12;20;22;31;77;207;403;0,690068493150685
"6";6;"Cole Aldrich";28;"C";"MIN";62;0;531;45;86;0,523255813953488;0;0;NA;45;86;0,523255813953488;0,523255813953488;15;22;0,681818181818182;51;107;158;25;25;23;17;85;105;376,5;0,709039548022599
"7";7;"LaMarcus Aldridge";31;"PF";"SAS";72;72;2335;500;1049;0,476644423260248;23;56;0,410714285714286;477;993;0,48036253776435;0,487607244995234;220;271;0,811808118081181;172;351;523;139;46;88;98;158;1243;1902;0,814561027837259
"8";8;"Lavoy Allen";27;"PF";"IND";61;5;871;77;168;0,458333333333333;0;1;0;77;167;0,461077844311377;0,458333333333333;23;33;0,696969696969697;105;114;219;57;18;24;29;78;177;538;0,617680826636051
"9";9;"Tony Allen";35;"SG";"MEM";71;66;1914;274;595;0,460504201680672;15;54;0,277777777777778;259;541;0,478743068391867;0,473109243697479;80;130;0,615384615384615;166;225;391;98;115;29;100;178;643;1215,5;0,635057471264368
"10";10;"Al-Farouq Aminu";26;"SF";"POR";61;25;1773;183;466;0,392703862660944;70;212;0,330188679245283;113;254;0,44488188976378;0,467811158798283;96;136;0,705882352941177;77;374;451;99;60;44;94;102;532;1078;0,608009024252679
"11";11;"Chris Andersen";38;"C";"CLE";12;0;114;9;22;0,409090909090909;0;3;0;9;19;0,473684210526316;0,409090909090909;10;14;0,714285714285714;9;22;31;5;5;7;5;20;28;79;0,692982456140351
"12";12;"Alan Anderson";34;"SF";"LAC";30;0;308;30;80;0,375;14;44;0,318181818181818;16;36;0,444444444444444;0,4625;12;16;0,75;3;21;24;11;3;0;7;35;86;98,5;0,319805194805195
"13";13;"Justin Anderson";23;"SF";"DAL, PHI";75;10;1228;186;439;0,42369020501139;58;194;0,298969072164948;128;245;0,522448979591837;0,489749430523918;102;129;0,790697674418605;69;176;245;66;41;23;66;109;532;799,5;0,651058631921824
"14";14;"Kyle Anderson";23;"SG";"SAS";72;14;1020;93;209;0,444976076555024;15;40;0,375;78;169;0,461538461538462;0,480861244019139;45;57;0,789473684210526;33;175;208;91;51;26;39;63;246;664,5;0,651470588235294
"15";15;"Ryan Anderson";28;"PF";"HOU";72;72;2116;323;773;0,417852522639069;204;506;0,403162055335968;119;267;0,445692883895131;0,54980595084088;129;150;0,86;112;218;330;68;31;14;55;142;979;1245,5;0,588610586011342
"16";16;"Giannis Antetokounmpo";22;"SF";"MIL";80;80;2845;656;1259;0,521048451151708;49;180;0,272222222222222;607;1079;0,562557924003707;0,540508339952343;471;612;0,769607843137255;142;558;700;434;131;151;234;246;1832;3195;1,12302284710018
"17";17;"Carmelo Anthony";32;"SF";"NYK";74;74;2538;602;1389;0,433405327573794;151;421;0,358669833729216;451;968;0,465909090909091;0,48776097912167;304;365;0,832876712328767;62;376;438;213;60;34;153;198;1659;2012;0,792750197005516
"18";18;"Joel Anthony";34;"C";"SAS";19;0;122;10;16;0,625;0;0;NA;10;16;0,625;0,625;5;8;0,625;8;23;31;3;2;6;4;11;25;69,5;0,569672131147541
"19";19;"Trevor Ariza";31;"SF";"HOU";80;80;2773;326;798;0,408521303258145;191;555;0,344144144144144;135;243;0,555555555555556;0,528195488721805;93;126;0,738095238095238;54;404;458;175;147;20;73;133;936;1706,5;0,615398485394879
"20";20;"Darrell Arthur";28;"PF";"DEN";41;7;639;95;215;0,441860465116279;53;117;0,452991452991453;42;98;0,428571428571429;0,565116279069767;19;22;0,863636363636364;25;87;112;42;19;21;36;76;262;417;0,652582159624413
"21";21;"Omer Asik";30;"C";"NOP";31;19;482;31;65;0,476923076923077;0;0;NA;31;65;0,476923076923077;0,476923076923077;23;39;0,58974358974359;48;115;163;15;5;10;14;51;85;279;0,578838174273859
"22";22;"D.J. Augustin";29;"PG";"ORL";78;20;1538;195;517;0,377176015473888;95;274;0,346715328467153;100;243;0,411522633744856;0,469052224371373;131;161;0,813664596273292;15;102;117;209;31;1;90;101;616;866,5;0,563394018205462
"23";23;"Luke Babbitt";27;"SF";"MIA";68;55;1065;113;281;0,402135231316726;87;210;0,414285714285714;26;71;0,366197183098592;0,556939501779359;11;15;0,733333333333333;12;129;141;36;20;11;25;118;324;469;0,44037558685446
"24";24;"Ron Baker";23;"SG";"NYK";52;13;857;82;217;0,377880184331797;23;86;0,267441860465116;59;131;0,450381679389313;0,430875576036866;28;43;0,651162790697674;12;86;98;107;34;8;56;74;215;430;0,501750291715286
"25";25;"Wade Baldwin";20;"PG";"MEM";33;1;405;36;115;0,31304347826087;3;22;0,136363636363636;33;93;0,354838709677419;0,326086956521739;31;37;0,837837837837838;11;35;46;61;18;7;39;40;106;209;0,516049382716049
"26";26;"Leandro Barbosa";34;"SG";"PHO";67;0;963;172;392;0,438775510204082;35;98;0,357142857142857;137;294;0,465986394557823;0,483418367346939;40;45;0,888888888888889;15;89;104;81;31;8;48;82;419;562;0,583592938733126
"27";27;"J.J. Barea";32;"PG";"DAL";35;6;771;142;343;0,41399416909621;53;148;0,358108108108108;89;195;0,456410256410256;0,491253644314869;44;51;0,862745098039216;9;75;84;193;14;1;63;30;381;655,5;0,850194552529183
"28";28;"Harrison Barnes";24;"PF";"DAL";79;79;2803;599;1280;0,46796875;78;222;0,351351351351351;521;1058;0,492438563327032;0,4984375;242;281;0,861209964412811;93;301;394;116;65;15;102;128;1518;1786,5;0,637352836246878
"29";29;"Matt Barnes";36;"SF";"SAC, GSW";74;18;1777;185;473;0,391120507399577;87;263;0,330798479087452;98;210;0,466666666666667;0,483086680761099;70;89;0,786516853932584;70;314;384;195;48;26;107;185;527;1116,5;0,628306133933596
"30";30;"Will Barton";26;"SG";"DEN";60;19;1705;295;666;0,442942942942943;87;235;0,370212765957447;208;431;0,482598607888631;0,508258258258258;143;190;0,752631578947368;58;201;259;206;48;28;97;110;820;1269;0,744281524926686
"31";31;"Brandon Bass";31;"PF";"LAC";52;0;577;107;186;0,575268817204301;1;3;0,333333333333333;106;183;0,579234972677596;0,577956989247312;77;88;0,875;43;86;129;21;14;11;29;45;292;431,5;0,747833622183709
